,X,Y,Z
418409,21990.14761,86951.99976,508.61300000000006
435486,20711.34921,86428.85496,1671.1570000000002
78709,20929.32621,87024.65876,4722.835
497600,22208.12461,86080.09176,3632.95
629009,20842.13541,86356.19596,2216.0995
337373,20275.39521,81575.23376,1976.3248
518587,25797.479209999998,81967.59236000001,4374.0718
451294,20333.522409999998,83130.13636,1511.3072
470422,23414.26401,82665.11876,3778.268
279814,23632.241009999998,82912.15936,8544.6984
312150,17427.16241,79250.14576,8442.9758
502942,23835.68621,84932.07956,3618.4182
221290,20696.81741,81328.19316,9474.7336
261016,21946.552209999998,76750.67616,7759.9812
619133,20318.99061,86443.38676000001,2390.4811
471228,24983.69841,86530.57756,3749.2044
26369,26102.64701,76329.25396,5812.72
349244,24446.02181,87852.97136,2136.1746
58610,20188.20441,78727.00096,7614.6632
597230,23610.44331,79264.67756,7469.3452
62844,17354.50341,78915.91436,7004.3276
575666,19461.61441,84452.53016000001,3182.4642
436950,19941.16381,83885.78996000001,1729.2842
330747,20478.84041,85716.79676,2412.2788
155972,26785.64161,79337.33656,5245.9798
334781,21147.30321,87896.56676,2063.5156
563055,19214.573809999998,84496.12556,3255.1232
532857,18139.22061,78189.32436,3938.1178
659044,18788.30768,81294.28562000001,3327.7822
174739,20682.28561,79584.37716,9358.4792
532208,26088.11521,83769.53556,3923.586
649805,22811.19431,88594.09316,2630.2558
330138,19432.55081,81604.29736,2412.2788
517001,25652.16121,84844.88876,4374.0718
533746,19883.03661,76968.65316,4112.4994
179967,23733.96361,79744.22696,8951.5888
260394,25724.820209999998,78174.79256,7745.4494
618259,19737.71861,84503.39146,2354.1516
628105,22716.73761,77433.67076000001,8479.3053
643115,26785.64161,78661.60786,5115.1936
470120,24228.04481,85411.62896,3763.7362
318461,19868.50481,81197.40696000001,2252.429
209947,23254.41421,80078.45836,10303.0462
146173,26872.832410000003,79526.24996,5042.5346
105089,18066.56161,78174.79256,4446.7308
292136,25303.39801,82083.84676,8733.6118
630760,18844.012909999998,84016.57616,3502.1638
219048,23545.050209999998,80645.19856,9605.5198
594815,19229.10561,81996.65596,2739.2443
195918,22556.88781,81284.59776,9925.2194
575437,26073.58341,82214.63296,3211.5278
78180,20318.99061,79453.59096,7730.9176
313048,19403.48721,80805.04836,2310.5562
587715,21786.702409999998,85397.09716,6895.3391
475322,25826.54281,84481.59376,3720.1408
89557,18037.49801,82301.82376,4868.153
311004,20595.09481,82868.56396,8457.5076
324345,24591.339809999998,86995.59516,2426.8106
223283,23545.050209999998,81110.21616,9547.3926
663140,20798.54001,77109.12722000001,6529.622133
200576,21394.34381,81589.76556,9838.0286
456427,22847.52381,89059.11076,1409.5846
300436,18982.06501,77520.86156,8283.126
275603,25855.60641,81909.46516,8631.8892
469490,25812.01101,82810.43676,3734.6726
139325,26088.11521,77826.02936,5158.789000000001
48997,26175.30601,78668.87376,7672.7904
576904,25187.14361,84873.95236,2993.5508
539855,19040.19221,81531.63836,4025.3086
656487,20856.66721,80732.38936,4199.6902
634226,21147.30321,76445.50836,8290.3919
253816,19984.75921,83231.85896,8181.4034
97517,26887.364210000003,79192.01856,4839.0894
148832,25114.48461,76954.12136,5289.5752
252930,22978.31001,78974.04156,8181.4034
364584,19040.19221,83885.78996000001,2964.4872
377876,19563.33701,81720.55176,2499.4696
9401,26407.81481,77738.83856,6350.3966
333940,25376.05701,83653.28116,2034.4520000000002
656646,20604.78268,84699.57076,1855.2264670000002
329134,19476.14621,83013.88196,2368.6834
390390,21815.76601,88477.83876,1075.3532
424366,23501.45481,87867.50316000001,755.6536
545438,25143.54821,85905.71016,3240.5914
635334,19766.78221,83079.27506,8254.0624
244728,20464.30861,78203.85616,8224.9988
44074,18110.15701,82156.50576,7367.6226
